GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS544195396	2017-10-24 23:00:55	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							Vía La Bonga	L6206032	P	7.1949482	-76.3883538	2017-08-22	05:34:00	obsr538843	S40109108	Traveling	P22	EBIRD	292	7.000		6	1	G2699538	0	1	0			Heard 	
URN:CornellLabOfOrnithology:EBIRD:OBS551817984	2017-11-24 07:42:43	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							Vereda Bedo	L5696240	H	7.2051616	-76.4097748	2017-11-11	06:23:00	obsr396391	S40690212	Traveling	P22	EBIRD	360	12.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS576204587	2018-12-29 13:36:04	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2018-02-02	07:00:00	obsr212715	S42642326	Traveling	P22	EBIRD	330	2.253		4	1	G2932187	0	1	1		About 1.5 hours around house, and edge of forest, before going up small stream trail into forest (different trail than yesterday). Overall, much slower than yesterday. --[Ottavio had a Tooth-billed Hummingbird] <a href="https://www.flickr.com/photos/vireolanius/39290219385/in/datetaken-public/" title="IMG_6332"><img src="https://farm5.staticflickr.com/4669/39290219385_ed84581c1a.jpg" alt="IMG_6332" /></a>	Heard, audio recording, a high loud piercing whistle.	
URN:CornellLabOfOrnithology:EBIRD:OBS577091930	2018-08-18 00:44:34	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2018-02-02	07:00:00	obsr396391	S42714006	Traveling	P22	EBIRD	330	2.253		4	1	G2932187	0	1	1		About 1.5 hours around house, and edge of forest, before going up small stream trail into forest (different trail than yesterday). Overall, much slower than yesterday. --[Ottavio had a Tooth-billed Hummingbird] <a href="https://www.flickr.com/photos/vireolanius/39290219385/in/datetaken-public/" title="IMG_6332"><img src="https://farm5.staticflickr.com/4669/39290219385_ed84581c1a.jpg" alt="IMG_6332" /></a>	Heard, audio recording, a high loud piercing whistle.	
URN:CornellLabOfOrnithology:EBIRD:OBS573734844	2018-08-18 00:44:34	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2018-02-02	07:00:00	obsr37417	S42449271	Traveling	P22	EBIRD	330	2.253		4	1	G2932187	0	1	1			Heard, audio recording, a high loud piercing whistle.	
URN:CornellLabOfOrnithology:EBIRD:OBS576204635	2018-08-18 00:44:34	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2018-02-02	07:00:00	obsr216208	S42642327	Traveling	P22	EBIRD	330	2.253		4	1	G2932187	0	1	1			Heard, audio recording, a high loud piercing whistle.	
URN:CornellLabOfOrnithology:EBIRD:OBS612052232	2018-08-16 11:20:11	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							#Globalbigday Vereda bedó camino reserva la bonga	L5836944	P	7.2006952	-76.3990233	2018-05-05	07:27:00	obsr396391	S45348125	Traveling	P22	EBIRD	80	4.000		2	1		0	1	0		Rastrojo alto y bordes de bosque.-Interrumpido por lluvia	Vocalizando	
URN:CornellLabOfOrnithology:EBIRD:OBS682968437	2019-01-17 11:12:30	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			X					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2018-12-04	11:00:00	obsr888811	S50439279	Traveling	P22	EBIRD	360	6.500		2	1		0	1	1			Escuchamos y comparamos con https://neotropical.birds.cornell.edu/Species-Account/nb/species/bertin1/overview --También se le pidió al guía local que la describiera (negra de patas rojas), luego coincidió y reconoció de inmediato en la Guía de Campo (Ayerbe, 2018)	
URN:CornellLabOfOrnithology:EBIRD:OBS772952948	2019-09-11 08:02:17	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							Mutatá-Dabeiba, Antioquia, CO (7.209, -76.422)	L9435863	P	7.2090225	-76.4215557	2019-05-12	07:37:00	obsr917733	S57219945	Traveling	P22	EBIRD	240	4.350		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS772951614	2019-09-11 08:02:17	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							Localidad desconocida - (7.209, -76.422)	L9305308	P	7.2090225	-76.4215557	2019-05-12	07:37:00	obsr917733	S57219871	Traveling	P22	EBIRD	240	4.350		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS753002913	2019-05-06 14:42:33	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							#Globalbigday Vereda Bedó Camino reserva la bonga	L5836981	P	7.2000851	-76.3866349	2019-05-04	06:14:00	obsr396391	S55918581	Traveling	P22	EBIRD	125	1.000		2	0		0	1	0		Recorrido por rastrojos, bordes de bosque y potrero	Vocaliza dentro del bosque, un silbido suave	
URN:CornellLabOfOrnithology:EBIRD:OBS772952538	2019-09-11 08:02:17	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							Mutatá-Dabeiba, Antioquia, CO (7.21, -76.421)	L9435854	P	7.2101415	-76.4205337	2019-05-12	07:37:00	obsr917733	S57219922	Traveling	P22	EBIRD	240	4.350		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS774143692	2020-10-23 14:56:06	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2019-05-21	09:22:00	obsr1048186	S57308253	Traveling	P22	EBIRD	142	2.660		5	1	G4209167	0	1	1		Transecto bajando en bosque	Escuchado	
URN:CornellLabOfOrnithology:EBIRD:OBS764198876	2020-10-23 14:56:06	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2019-05-21	09:22:00	obsr545275	S56614737	Traveling	P22	EBIRD	142	2.660		5	1	G4209167	0	1	1			Escuchado	
URN:CornellLabOfOrnithology:EBIRD:OBS752295960	2019-05-06 10:10:00	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							(6,5361,-76,2813)	L9202322	P	6.5360990	-76.2812690	2019-05-04	06:39:00	obsr923646	S55876869	Traveling	P22	EBIRD	540	10.000		2	1		0	1	1			Registro auditivo. Individuo escuchado y reconocido su canto por su patrón único. Se revisó con xenocanto	
URN:CornellLabOfOrnithology:EBIRD:OBS1037175732	2020-12-27 14:58:22.847752	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2019-05-21	09:22:00	obsr888180	S78079511	Traveling	P22	EBIRD	142	2.660		5	1	G4209167	0	1	1		Transecto bajando en bosque	Escuchado	
URN:CornellLabOfOrnithology:EBIRD:OBS764285255	2020-10-23 14:56:06	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2019-05-21	09:22:00	obsr269273	S56619806	Traveling	P22	EBIRD	142	2.660		5	1	G4209167	0	1	1			Escuchado	
URN:CornellLabOfOrnithology:EBIRD:OBS839096420	2020-10-23 14:56:06	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2019-05-21	09:22:00	obsr261579	S62382831	Traveling	P22	EBIRD	142	2.660		5	1	G4209167	0	1	1			Escuchado	
URN:CornellLabOfOrnithology:EBIRD:OBS764769583	2020-10-23 14:56:06	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2019-05-21	09:22:00	obsr396391	S56651394	Traveling	P22	EBIRD	142	2.660		5	1	G4209167	0	1	1		Transecto bajando en bosque	Escuchado	
URN:CornellLabOfOrnithology:EBIRD:OBS1053249949	2021-05-06 12:20:49.970768	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2021-01-16	05:54:00	obsr1070564	S79371786	Traveling	P22	EBIRD_COL	384	1.500		3	1	G6166211	0	1	1			Escuchado	
URN:CornellLabOfOrnithology:EBIRD:OBS1052759831	2021-02-22 10:48:15.571292	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			1					Colombia	CO	Antioquia	CO-ANT							Reserva La Bonga	L2830159	H	7.1852280	-76.3759200	2021-01-16	05:54:00	obsr162605	S79330023	Traveling	P22	EBIRD_COL	384	1.500		3	1	G6166211	0	1	1			Escuchado	
URN:CornellLabOfOrnithology:EBIRD:OBS388092114	2018-08-17 14:33:27	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			X					Colombia	CO	Cauca	CO-CAU							Quebrada Pocitos, El Tambo	L4451187	P	2.6003775	-77.1237445	1997-01-11		obsr739943	S28719068	Historical	P62	EBIRD				2	1		0	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS779617665	2019-06-27 17:21:55	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			X					Colombia	CO	Cauca	CO-CAU							RN K'ok'oi Euja, comunidad Eperara Siapidaara	L9544912	P	2.8903585	-77.5358833	2019-04-07	06:00:00	obsr739943	S57741570	Traveling	P22	EBIRD	720	10.000		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS754482749	2021-04-24 19:38:46.354987	55	species	Berlepsch's Tinamou	Crypturellus berlepschi			X					Colombia	CO	Cauca	CO-CAU							La Lombricera, Reserva Kokoi Euja, Resguardo Calle Santa Rosa	L9224023	P	2.8865436	-77.5317297	2019-04-07	07:00:00	obsr720760	S56007512	Traveling	P22	EBIRD	660	15.000		4	1		0	1	0				
