GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS680573293	2021-03-31 20:04:39.441555	10525	species	Chestnut Piculet	Picumnus cinnamomeus			6					Colombia	CO	La Guajira	CO-LAG							Camarones (pueblo)	L2984973	H	11.4238312	-73.0621719	2012-12-11	07:00:00	obsr527452	S50247510	Traveling	P22	EBIRD	390	4.828		6	1	G3612831	0	1	0		Multiple locations around Camarones		
URN:CornellLabOfOrnithology:EBIRD:OBS195525124	2018-08-16 14:49:58	10525	species	Chestnut Piculet	Picumnus cinnamomeus			1					Colombia	CO	La Guajira	CO-LAG							La Guajira--vicinity of Camarones	L2159801	P	11.4214029	-73.0574630	2013-01-25		obsr328621	S14053222	Historical	P62	EBIRD				7	1		0	1	0		Colombian endemics, Multicoloured Birding tour; Pablo Florez - guide; morning visit		
URN:CornellLabOfOrnithology:EBIRD:OBS195196235	2017-02-07 18:44:35	10525	species	Chestnut Piculet	Picumnus cinnamomeus			1					Colombia	CO	La Guajira	CO-LAG							La Guajira--vicinity of Camarones	L2159801	P	11.4214029	-73.0574630	2013-01-24		obsr328621	S14032503	Historical	P62	EBIRD				7	1		0	1	0		Colombian endemics, Multicoloured Birding tour; Pablo Florez - guide; afternoon - from Minca to Camarones/Riohacha area	Camarones	
URN:CornellLabOfOrnithology:EBIRD:OBS898670395	2021-08-10 10:03:29.710155	10525	species	Chestnut Piculet	Picumnus cinnamomeus			1					Colombia	CO	La Guajira	CO-LAG							SFF Los Flamencos--Boca de Camarones	L2080823	H	11.4316762	-73.0861402	2013-01-29	06:00:00	obsr312461	S67509976	Traveling	P22	EBIRD	240	40.000		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS482372190	2021-08-05 16:14:28.277146	10525	species	Chestnut Piculet	Picumnus cinnamomeus			X					Colombia	CO	La Guajira	CO-LAG							Perico (peublo)	L726305	H	11.3709251	-73.0852818	2013-01-01	09:00:00	obsr177447	S35725167	Traveling	P22	EBIRD	120	16.093		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS870706379	2020-07-28 04:02:51	10525	species	Chestnut Piculet	Picumnus cinnamomeus			X					Colombia	CO	La Guajira	CO-LAG							Los Flamencos Fauna and Flora Sanctuary	L10601500	P	11.4015000	-73.1166000	2013-01-02		obsr334444	S65105394	Historical	P62	EBIRD					0		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS209392626	2021-08-04 22:32:40.00067	10525	species	Chestnut Piculet	Picumnus cinnamomeus			3					Colombia	CO	La Guajira	CO-LAG							Camarones area	L2075822	P	11.4210549	-73.0582237	2013-02-16		obsr176333	S15058382	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS621238717	2018-11-15 14:17:27	10525	species	Chestnut Piculet	Picumnus cinnamomeus			2					Colombia	CO	La Guajira	CO-LAG							Cari-Cari (Tocuyo Sparrow Area)	L4187455	H	11.3064630	-73.1109250	2013-02-23	16:00:00	obsr334446	S45873244	Traveling	P22	EBIRD	90	1.609		5	1		1	1	0		List based on notes kept during the trip.		
URN:CornellLabOfOrnithology:EBIRD:OBS463216589	2019-07-21 13:31:09	10525	species	Chestnut Piculet	Picumnus cinnamomeus			2					Colombia	CO	La Guajira	CO-LAG							Camarones area	L2075822	P	11.4210549	-73.0582237	2013-02-23	16:00:00	obsr354921	S34163911	Traveling	P22	EBIRD	90	1.609		5	1	G590415	1	1	0			I had been only person to miss one earlier, very happy to catch up!--<a href="http://www.pbase.com/mctodd/image/149121526"><img src="http://www.pbase.com/mctodd/image/149121526.jpg/" /></a>	
URN:CornellLabOfOrnithology:EBIRD:OBS463216471	2021-08-04 22:32:40.00067	10525	species	Chestnut Piculet	Picumnus cinnamomeus			2					Colombia	CO	La Guajira	CO-LAG							Los Flamencos area (south)	L2076733	P	11.2770491	-73.1216741	2013-02-24	07:00:00	obsr354921	S34163900	Traveling	P22	EBIRD	420	8.047		5	1	G590409	0	1	0				
